p0 = 450.192, 450.339, 451.099, 450.249, 450.513, 450.306, 450.229, 450.608
pn1 = 449.083, 450.065, 450.795, 449.746, 449.805, 449.516, 449.415, 449.802
pn2 = 450.327, 450.514, 450.751, 448.637, 447.092, 446.230, 445.949, 446.313
pp1 = 450.431, 449.968, 446.831, 437.634, 425.243, 420.352, 418.765, 418.946
pp2 = 450.067, 447.738, 439.444, 419.392, 390.383, 378.749, 375.091, 375.079
pp3 = 449.645, 445.117, 430.282, 396.727, 342.624, 319.514, 311.804, 311.503
pp4 = 449.344, 442.506, 420.866, 372.177, 283.168, 237.982, 220.298, 219.424
pp5 = 449.225, 442.285, 419.771, 368.702, 273.815, 223.224, 202.826, 201.818
pp6 = 449.228, 442.286, 418.953, 365.888, 265.443, 208.413, 182.944, 181.587
pp7 = 449.157, 442.218, 418.788, 364.651, 260.814, 198.775, 168.070, 166.318
pp8 = 448.936, 441.914, 417.573, 361.263, 251.045, 181.940, 143.245, 140.747
pB = 447.897, 439.667, 415.986, 363.741, 266.108, 205.256, 168.100, 161.916
ppitot = 99.736, 99.724, 99.733, 99.762, 99.919, 99.925, 99.850, 99.894
