p0 = 449.851, 450.718, 450.491, 450.769, 450.113, 450.719, 450.616, 450.744, 450.369, 449.883, 450.152, 450.670, 450.106, 450.622
pn1 = 449.285, 450.164, 449.966, 450.219, 449.564, 450.161, 450.060, 450.183, 449.832, 449.276, 449.582, 450.107, 449.548, 450.034
pn2 = 444.727, 445.548, 445.352, 445.587, 444.930, 445.485, 445.378, 445.393, 445.168, 444.644, 444.952, 445.426, 444.862, 445.287
pp1 = 417.076, 417.970, 417.601, 418.186, 417.172, 417.939, 417.577, 417.986, 417.524, 417.635, 417.261, 417.839, 417.296, 417.878
pp2 = 372.944, 373.787, 373.460, 373.998, 373.058, 373.795, 373.462, 373.791, 373.407, 373.544, 373.123, 373.696, 373.183, 373.665
pp3 = 308.866, 309.627, 309.178, 309.939, 308.810, 309.606, 309.195, 309.613, 309.186, 309.742, 309.063, 309.569, 309.076, 309.527
pp4 = 214.545, 215.082, 214.666, 215.445, 214.335, 215.067, 214.620, 215.055, 214.687, 215.363, 214.658, 215.027, 214.621, 215.005
pp5 = 198.301, 198.815, 198.439, 199.082, 198.160, 198.779, 198.406, 198.791, 198.435, 198.986, 198.431, 198.782, 198.392, 198.716
pp6 = 175.674, 176.134, 175.790, 176.407, 175.493, 176.085, 175.708, 176.099, 175.763, 176.321, 175.773, 176.084, 175.741, 176.044
pp7 = 161.151, 161.556, 161.268, 161.793, 161.000, 161.518, 161.200, 161.505, 161.233, 161.678, 161.281, 161.542, 161.225, 161.481
pp8 = 132.391, 132.735, 132.427, 133.024, 132.182, 132.692, 132.351, 132.694, 132.404, 132.995, 132.462, 132.720, 132.449, 132.687
pB = 99.987, 99.969, 99.987, 99.978, 99.992, 99.972, 99.964, 99.969, 99.980, 99.977, 99.961, 99.973, 99.968, 99.965
ppitot = 201.715, 207.851, 211.002, 218.443, 225.499, 226.374, 233.524, 236.282, 236.496, 223.857, 219.576, 212.660, 208.994, 122.637
